level 1;level 2;level 3;level 4;level 5;level 6;Value
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Polygonaceae;Rumex;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Polygonaceae;Rumex;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Polygonaceae;Rumex;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Polygonaceae;Rumex;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Caryophyllales;Portulacaceae;Portulaca;1
Spermatophyta;Magnoliophytina;ASTERIDS;Ericales;Primulaceae;Primula;1
Spermatophyta;Magnoliophytina;EUDICOTS;Ranunculales;Ranunculaceae;Caltha;1
Spermatophyta;Magnoliophytina;EUDICOTS;Ranunculales;Ranunculaceae;Helleborus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rhamnaceae;Ziziphus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Alchemilla;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Aruncus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Crataegus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Crataegus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Crataegus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Cydonia;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Fragaria;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Malus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Prunus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Prunus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Prunus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Prunus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Prunus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Pyrus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Rosa;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Rosa;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Rubus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Rubus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Rubus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Rosaceae;Rubus;1
Spermatophyta;Magnoliophytina;LAMIID/ASTERID I;Gentianales;Rubiaceae;Galium;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Sapindales;Rutaceae;Citrus;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Sapindales;Rutaceae;Citrus;1
Spermatophyta;Magnoliophytina;MALVIDS/ROSID II;Sapindales;Rutaceae;Citrus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Malpighiales;Salicaceae;Populus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Malpighiales;Salicaceae;Salix;1
Spermatophyta;Magnoliophytina;SUPERASTERIDS;Santalales;Santalaceae;Viscum;1
Spermatophyta;Magnoliophytina;LILIOID MONOCOTS;Liliales;Smilacaceae;Smilax;1
Spermatophyta;Magnoliophytina;LAMIID/ASTERID I;Solanales;Solanaceae;Capsicum;1
Spermatophyta;Magnoliophytina;LAMIID/ASTERID I;Solanales;Solanaceae;Solanum;1
Spermatophyta;Magnoliophytina;LAMIID/ASTERID I;Solanales;Solanaceae;Solanum;1
Spermatophyta;Magnoliophytina;LAMIID/ASTERID I;Solanales;Solanaceae;Solanum;1
Spermatophyta;Magnoliophytina;ASTERIDS;Ericales;Theaceae;Camellia;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Ulmaceae;Ulmus;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Urticaceae;Urtica;1
Spermatophyta;Magnoliophytina;FABIDS/ROSID I;Rosales;Urticaceae;Urtica;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Dipsacales;Viburnaceae;Sambucus;1
Spermatophyta;Magnoliophytina;CAMPANULID/ASTERID II;Dipsacales;Viburnaceae;Sambucus;1
Spermatophyta;Magnoliophytina;ROSIDS;Vitales;Vitaceae;Vitis;1
Spermatophyta;Magnoliophytina;ROSIDS;Vitales;Vitaceae;Vitis;1
Spermatophyta;Magnoliophytina;COMMELINIDS;Zingiberales;Zingiberaceae;Curcuma;1
Spermatophyta;Magnoliophytina;COMMELINIDS;Zingiberales;Zingiberaceae;Zingiber;1
